id_municipio_ibge;nome_municipio;populacao_municipio;id_foro;nome_foro;total_varas_foro;entrancia;endereco_sede;latitude;longitude;id_cj;nome_cj;id_raj;nome_raj;populacao_foro;qt_cidades_foro;cidades_no_foro;qt_cidades_cj;cidades_na_cj;unidades;total_varas_municipio;varas_municipio;varas_foro
3501806;Américo de Campos;5870;3553401;Tanabi;3;Entrância Inicial;Praça Stélio Machado Loureiro, , 273 - Centro, 15170-000;-20.531216941577227;-49.64644325481354;16;16ª São José do Rio Preto;8;8ª São José do Rio Preto;39854;3;Américo de Campos, Cosmorama, Tanabi;33;Adolfo, Américo de Campos, Bady Bassitt, Bálsamo, Cedral, Cosmorama, Guapiaçu, Icém, Ipiguá, Jaci, José Bonifácio, Macaubal, Mendonça, Mirassol, Mirassolândia, Monte Aprazível, Neves Paulista, Nipoã, Nova Aliança, Nova Granada, Onda Verde, Orindiúva, Palestina, Paulo de Faria, Poloni, Potirendaba, Riolândia, Sebastianópolis do Sul, São José do Rio Preto, Tanabi, Ubarana, Uchoa, União Paulista;;0;;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível e Criminal
3501905;Amparo;68008;3501905;Amparo;2;Entrância Final;Praça Tenente José Ferraz de Oliveira , 55 - Centro, 13900-900;-22.699126517157588;-46.798714032867565;54;54ª Amparo;4;4ª Campinas;76635;2;Amparo, Monte Alegre do Sul;9;Amparo, Jaguariúna, Lindóia, Monte Alegre do Sul, Pedreira, Santo Antônio de Posse, Serra Negra, Socorro, Águas de Lindóia;Fórum Dr. Laudo Ferreira de Camargo, Juizado Especial Cível e Crim., Colégio Recursal e CEJUSC, Setor das Execuções Fiscais e Setor Técnico Psicossocial;2;1ª Vara Judicial, 2ª Vara Judicial;1ª Vara Judicial, 2ª Vara Judicial
3502002;Analândia;4589;3523602;Itirapina;3;Entrância Inicial;Rua 1 , 180 - Centro, 13530-000;-22.294590665197184;-47.8340598452895;9;9ª Rio Claro;4;4ª Campinas;20737;2;Analândia, Itirapina;8;Analândia, Brotas, Corumbataí, Ipeúna, Itirapina, Rio Claro, Santa Gertrudes, Torrinha;;0;;Cartório da Vara Única (Seção Cível, Fazenda Pública e Família), Juizado Especial Cível e Criminal
3502101;Andradina;59783;3502101;Andradina;3;Entrância Final;Rua Paes Leme , 2052 - Stella Maris, 16901-907;-20.835605724040704;-51.32972788380322;37;37ª Andradina;2;2ª Araçatuba;88106;4;Andradina, Castilho, Murutinga do Sul, Nova Independência;12;Andradina, Castilho, Guaraçaí, Ilha Solteira, Itapura, Lavínia, Mirandópolis, Murutinga do Sul, Nova Independência, Pereira Barreto, Sud Mennucci, Suzanápolis;Fórum Andradina I (Homero Rodrigues Silva), Fórum Andradina II (SAF e JECC), Fórum Andradina III - Anexo de Violência Doméstica e Grupo de Apoio Recursal, Fórum Andradina IV - CEJUSC de Andradina, Fórum Andradina V - Anexo do Juizado de Andradina - UAAJ - CASTILHO;3;1ª Vara Judicial, 2ª Vara Judicial, 3ª Vara Judicial;1ª Vara Judicial, 2ª Vara Judicial, 3ª Vara Judicial
3502200;Angatuba;24022;3502200;Angatuba;2;Entrância Inicial;Rua Públio de Almeida Melo , 832 - Centro, 18240-000;-23.436845924831584;-48.45932817302467;22;22ª Itapetininga;10;10ª Sorocaba;29976;2;Angatuba, Campina do Monte Alegre;17;Alambari, Angatuba, Bofete, Campina do Monte Alegre, Capela do Alto, Capão Bonito, Cesário Lange, Guapiara, Guareí, Itapetininga, Porangaba, Quadra, Ribeirão Grande, Sarapuí, São Miguel Arcanjo, Tatuí, Torre de Pedra;Fórum I Angatuba, Fórum II Angatuba (Residência Oficial);2;Juizado Especial Cível, Vara Judicial;Juizado Especial Cível, Vara Judicial
3502309;Anhembi;5674;3512308;Conchas;0;Entrância Inicial;Av. Gregório Marcos Garcia , 808 - Vila Esporte, 18570-000;-22.9656292866085;-48.047079624246535;23;23ª Botucatu;3;3ª Bauru;29643;3;Anhembi, Conchas, Pereiras;9;Anhembi, Areiópolis, Botucatu, Conchas, Itatinga, Pardinho, Pereiras, Pratânia, São Manuel;;0;;
3502408;Anhumas;4023;3541406;Presidente Prudente;17;Entrância Final;Avenida Coronel José Soares Marcondes , 2201 - Vila Comercial, 19013-050;-21.99318224082918;-51.34313661870564;27;27ª Presidente Prudente;5;5ª Presidente Prudente;264391;5;Alfredo Marcondes, Anhumas, Presidente Prudente, Santo Expedito, Álvares Machado;20;Alfredo Marcondes, Anhumas, Caiabu, Emilianópolis, Estrela do Norte, Iepê, Indiana, Martinópolis, Nantes, Narandiba, Pirapozinho, Presidente Bernardes, Presidente Prudente, Rancharia, Regente Feijó, Sandovalina, Santo Expedito, Taciba, Tarabai, Álvares Machado;;0;;1ª Vara Criminal, 1ª Vara Cível, 1ª Vara da Família e das Sucessões, 1ª Vara das Execuções Criminais, 2ª Vara Criminal, 2ª Vara Cível, 2ª Vara da Família e das Sucessões, 2ª Vara das Execuçõs Criminais, 3ª Vara Criminal, 3ª Vara Cível, 4ª Vara Cível, 5ª Vara Cível, Juizado Especial Cível, Ofício do Juizado Especial Cível, Vara da Fazenda Pública, Vara do Juizado Especial Cível, Vara do Júri e da Infância e da Juventude
3502507;Aparecida;32569;3502507;Aparecida;3;Entrância Inicial;Avenida Padroeira do Brasil , 180 - São Roque, 12573-276;-22.914206366020995;-45.237219519445574;48;48ª Guaratinguetá;9;9ª São José dos Campos;52961;2;Aparecida, Potim;17;Aparecida, Arapeí, Areias, Bananal, Cachoeira Paulista, Canas, Cruzeiro, Cunha, Guaratinguetá, Lavrinhas, Lorena, Piquete, Potim, Queluz, Roseira, Silveiras, São José do Barreiro;Fórum Aparecida;3;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível e Criminal;1ª Vara Judicial, 2ª Vara Judicial, Juizado Especial Cível e Criminal
3502606;Aparecida d'Oeste;4086;3535200;Palmeira d'Oeste;3;Entrância Inicial;Rua XV de Novembro , 48-71 - centro, 15720-000;-20.438958786474778;-50.74877216380056;55;55ª Jales;2;2ª Araçatuba;17451;4;Aparecida d'Oeste, Marinópolis, Palmeira d'Oeste, São Francisco;23;Aparecida d'Oeste, Aspásia, Auriflama, Dirce Reis, Guzolândia, Jales, Marinópolis, Mesópolis, Nova Canaã Paulista, Palmeira d'Oeste, Paranapuã, Pontalinda, Rubinéia, Santa Albertina, Santa Clara d'Oeste, Santa Fé do Sul, Santa Rita d'Oeste, Santa Salete, Santana da Ponte Pensa, São Francisco, Três Fronteiras, Urânia, Vitória Brasil;;0;;Juizado Especial Cível, Juizado Informal de Conciliação, Vara Judicial
3502705;Apiaí;24585;3502705;Apiaí;0;Entrância Inicial;Praça Francisco Xavier da Rocha , 182 - Centro, 18320-000;-24.421467380540186;-48.817372200286705;49;49ª Itapeva;10;10ª Sorocaba;40624;5;Apiaí, Barra do Chapéu, Itapirapuã Paulista, Itaóca, Ribeira;16;Apiaí, Barra do Chapéu, Barão de Antonina, Bom Sucesso de Itararé, Buri, Itaberá, Itapeva, Itapirapuã Paulista, Itaporanga, Itararé, Itaóca, Nova Campina, Ribeira, Ribeirão Branco, Riversul, Taquarivaí;Fórum Apiaí - Des. Déscio Mendes Pereira;0;;
